view_count,tag_count,video_id
15842303,15,ByoOG8KDsY0
15791351,39,MqePxS6iyvA
15762391,14,eCw5wd3yKHc
15754388,33,L0X03zR0rQk
15640377,18,VafTMsrnSTU
15639933,26,Cy8Zz7Q56dY
15617890,5,j_MuZmJNirw
15599940,20,UmiVBYrBrkU
15574470,2,jRn6b7585es
15572742,41,WJgTnDAmJHc
15558785,1,mOFOjmws4hk
15558565,40,q7u0xsMw3EE
15542045,5,BwZs3H_UN3k
15537241,31,RB9sXKVUa_s
15486748,33,Z02zptUN8gI
15469411,1,0QRTAwJoXuk
15458841,25,v1iZtBM23bY
15445158,15,22VOzqS_9ms
15432463,39,Bbyftsl7Owo
